
# elbo 90 angle from B1 to V2
#       This is needed to get around the mountian.
-261, 98 "elbo-V2"


# First bed
-267,  -183, "(B1)"


# First village (got the bell from here)
62,  -292, "V1"


# Second Village (has cats?)
#       This one also has the second bed in a villager house.        
#       This one has a decent little mine in the back on the second bed house.
#       Villagers trade potoatos, paper, and rotten meat for emerals
281,  79, "V2"

    
# Second Village - My stuff! (out in the open) 
#                  this is where I died and left my horse.  But I got him back on another visit.
453, 95, "V2S"


# Third Village - Desert People!
#       This one had cat that were tamed as pets.
-300, -1234, "V3"


# Desert Hidey Hole (made of some cobblestone)
430, -552, "DHH1"


# Lava by water (far one)
#       I think this one is near that desert booby trap temple where I died early on in the world.
42, -868 "LW"


# Directions
0, -1300, "N"
0,  1300, "S"


# utility markers
-265, 500, "next"

# current location
#-417, 181, "(now)"
